Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1701120667,748646259,-0.9288034159013631,0.7282007327847652,0.21755144689841419,-0.3802108645309958,0.9248518072779345,-0.006282749897491179,0.007025675843416475,255,-1,-0.5252302328692835,-2.542549435292379,-0.8832791487323206,-1.3051345984088343,1.5672801733016968,-2.876115385686056
100,1701120667,852164745,-0.9288334025499814,0.7281729815621272,0.21756727302142845,-0.38023329946092077,0.9248426692472824,-0.006262278810032132,0.007032708207293613,255,-1,-0.5252540747271937,-2.542537514363424,-0.8832553068744105,-1.3050749937640589,1.5673041343688965,-2.8761633078204554
200,1701120667,948092460,-0.9288232823457259,0.7281806662654061,0.2175747036046632,-0.3802221917080616,0.9248473206086224,-0.006264667367227284,0.007019432922109539,255,-1,-0.5252779165851038,-2.542513672505514,-0.8832910696612757,-1.305086914693014,1.5673041343688965,-2.8761513868915003
300,1701120668,52252769,-0.928868205721955,0.7281609446161021,0.2177177213266644,-0.38025001645089096,0.9248367498901304,-0.006186259251424628,0.0069743270809203735,255,-1,-0.5252302328692835,-2.542501751576559,-0.8831594626056116,-1.3050511519061487,1.5673160552978516,-2.8761633078204554
400,1701120668,148141860,-0.929100271469855,0.7283437557628023,0.21865093986344797,-0.38022358322289956,0.9248538446889988,-0.005669195426210764,0.006576697372953202,255,-1,-0.5252779165851038,-2.542298142110006,-0.8817351500140589,-1.3050749937640589,1.5672920942306519,-2.8761633078204554
500,1701120668,252280950,-0.9296992383503362,0.7286747848815915,0.22159395545753274,-0.3802314766631807,0.9248662260493625,-0.004150719966621148,0.00540921357547485,255,-1,-0.5252421537982386,-2.541506592427389,-0.8785632292376917,-1.3050625959979456,1.5672441720962524,-2.8761633078204554
600,1701120668,348284721,-0.930326125792546,0.7290071325712866,0.22561373991840455,-0.38024353344466044,0.9248754312545363,-0.0022104751851481697,0.003925013975853009,255,-1,-0.5252659956561487,-2.539828602467672,-0.8753917852984827,-1.3050511519061487,1.5672441720962524,-2.8761513868915003
700,1701120668,451866626,-0.9300086826791714,0.7288193291220137,0.2310380383769286,-0.3802533334366222,0.9248790380420034,-0.0003356059835862078,0.002460644114667871,255,-1,-0.5252659956561487,-2.535166088734762,-0.8751643339740198,-1.305086914693014,1.5672801733016968,-2.876127306615011
800,1701120668,547817230,-0.9297440851651707,0.7287156239707541,0.23768576193690344,-0.3802320631105375,0.9248885162012423,0.002113963429031982,0.000584756692340953,255,-1,-0.5252302328692835,-2.5302284399615687,-0.8738358656512659,-1.305098835621969,1.5672801733016968,-2.876127306615011
900,1701120668,651880979,-0.9310769473012274,0.7294248328002687,0.2463678903297603,0.3802205465511995,-0.9248699903158487,-0.00637443466620798,0.0026839478674593417,255,-1,-0.5252063910113733,-2.5273998419391077,-0.8655055204974573,-1.305098835621969,1.5672681331634521,-2.876139465962545
1000,1701120668,747779846,-0.9325310455818597,0.7302674997312391,0.2564606046863569,0.3801927997160059,-0.9248153259233705,-0.011314656448023331,0.006482787272341399,255,-1,-0.525182072316305,-2.523924175892965,-0.8563497702227991,-1.3051345984088343,1.5673041343688965,-2.876115385686056
1100,1701120668,852018356,-0.9341362310388913,0.7311990064725915,0.2688527764091643,0.380120784945262,-0.9247073203242505,-0.01734920054210059,0.011116016907675748,255,-1,-0.5252302328692835,-2.5198004881488245,-0.8453028837787073,-1.3051465193377894,1.5672441720962524,-2.876127306615011
1200,1701120668,947871685,-0.9356734418833524,0.7320658777000668,0.2789674125659676,0.3800583468657441,-0.9245671512623869,-0.022445358561903727,0.015081169160907694,255,-1,-0.5252063910113733,-2.5171521345721644,-0.8351653257953089,-1.3051946798907679,1.5672801733016968,-2.876139465962545
1300,1701120669,52082777,-0.9367308052710311,0.7326156978431023,0.28887040708207956,0.38000784183228753,-0.9243936348975142,-0.027200743981889514,0.018723446097339183,255,-1,-0.5251582304583948,-2.5134361425982874,-0.8268230597125452,-1.305230442677633,1.5673160552978516,-2.876103464757101
1400,1701120669,147995710,-0.9361619168662466,0.7318475939233252,0.298554001847278,0.38008685399874215,-0.9241970183432128,-0.030623141612057116,0.021355980442533878,255,-1,-0.5247390905963343,-2.505885426198141,-0.8256743589984339,-1.3056862990008753,1.5673160552978516,-2.876139465962545
1500,1701120669,252095222,-0.9352546361289549,0.7303107618137644,0.30939660526447804,0.3803669637897289,-0.9239050172879205,-0.03389183923440752,0.02391307426700821,255,-1,-0.5240333716021937,-2.496620003377096,-0.8254349867450159,-1.3066924254046839,1.5673408508300781,-2.876103464757101
1600,1701120669,347995758,-0.9346534722285598,0.7292228778133392,0.31991616615441465,0.38051791233844795,-0.9236212562832659,-0.037606248807184765,0.026751885577714782,255,-1,-0.5235303084002894,-2.488900963460104,-0.823256794606344,-1.3071005980121058,1.5673160552978516,-2.8760913054095667
1700,1701120669,452119112,-0.9343028149640888,0.7281084916530959,0.3320685469648902,0.3807246496580455,-0.9232363877345692,-0.0420645611080821,0.030230550844587253,255,-1,-0.5227878729449671,-2.4808347860919397,-0.8190673033343714,-1.3079269568072718,1.5673408508300781,-2.876103464757101
1800,1701120669,547910928,-0.9343594146516582,0.7265611108607792,0.3434438572507893,0.3811232185431294,-0.922748448186741,-0.04635702393305023,0.03363658704978897,255,-1,-0.521590534840719,-2.4732592741595667,-0.8155015150653284,-1.3083108107196253,1.5673648118972778,-2.876103464757101
1900,1701120669,652122735,-0.93469577982416,0.7224411814118918,0.3548834797872354,0.3825060686679024,-0.9219057244047518,-0.04962778217942168,0.03627707234504513,255,-1,-0.5180953184710901,-2.463430706654684,-0.815345589314596,-1.310216252003805,1.5673648118972778,-2.8760793844806116
2000,1701120669,747956275,-0.9372296970015012,0.7151468348444611,0.36503871153278955,0.38542232414159233,-0.9205287319460068,-0.051385561725215,0.03789471943891663,255,-1,-0.5113790670977991,-2.454296414052145,-0.8153093496905726,-1.3146632353412073,1.567376732826233,-2.8760674635516565
