Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1701121433,281187772,-0.9284345654773819,0.7286218510621512,0.21745738973355977,-0.3800454001824181,0.9249186630783666,-0.006302280489402065,0.007158334313628442,255,-1,-0.5258172194110315,-2.5425613562213343,-0.8833988348590296,-1.3051589171039026,1.567124366760254,-2.876247231160299
100,1701121433,384980440,-0.9284142333136837,0.7286571058419957,0.21745785434647583,-0.3800398393401224,0.9249209573847208,-0.006306314479899533,0.007153565722484489,255,-1,-0.5257809797870081,-2.542537514363424,-0.8833511511432093,-1.3051226774798792,1.567124366760254,-2.876247231160299
200,1701121433,480889797,-0.9283940234998737,0.7286602030580017,0.2174508676044851,-0.3800342793304523,0.9249232586260429,-0.006309646924641656,0.007148464314264989,255,-1,-0.525757137929098,-2.542549435292379,-0.8834107557879847,-1.3051345984088343,1.567136287689209,-2.876259152089254
300,1701121433,584962606,-0.928423944528615,0.7286279711765214,0.2174639602710869,-0.38003974482385494,0.9249210246676429,-0.006313065605626233,0.007143926415899886,255,-1,-0.525757137929098,-2.542537514363424,-0.8834345976458948,-1.3051465193377894,1.567124366760254,-2.876259152089254
400,1701121433,680906534,-0.9284283138399602,0.7286305063893976,0.2175089967704537,-0.3800398005386415,0.9249213028318282,-0.006289435297641033,0.007125768594314971,255,-1,-0.525757137929098,-2.5425856749164026,-0.8834107557879847,-1.3051589171039026,1.5671483278274536,-2.876235310231344
500,1701121433,784994363,-0.9284050831715551,0.7286691749596961,0.21748905139283256,-0.38002890593078853,0.9249256836622192,-0.006283400181583003,0.007143475427452955,255,-1,-0.525757137929098,-2.542537514363424,-0.8833869139300745,-1.3051589171039026,1.567136287689209,-2.876247231160299
600,1701121433,880986213,-0.9284182306076476,0.7286420340649241,0.21755351434030218,-0.380067577958657,0.9249101772806361,-0.006262470850125228,0.007112074675781608,255,-1,-0.5257809797870081,-2.542501751576559,-0.8833511511432093,-1.305098835621969,1.5671842098236084,-2.8762951532946985
700,1701121433,985097408,-0.9284145722319813,0.7286721270657578,0.2177755357975993,-0.3800457664932613,0.9249204559399721,-0.006157926911990618,0.007031748750501776,255,-1,-0.5257929007159632,-2.542333428059713,-0.8832314650165003,-1.305086914693014,1.5671602487564087,-2.8762832323657435
800,1701121434,80973625,-0.9284123606067394,0.7287333681831273,0.21968033212423027,-0.380030506547742,0.9249359654390272,-0.005386346311294802,0.006423488449122897,255,-1,-0.5258768240558069,-2.5408719221698206,-0.882608715687887,-1.3049786726581019,1.5671602487564087,-2.876319233571188
900,1701121434,185169696,-0.9277122520664726,0.7290233678271584,0.22617363106950117,-0.37978960916438154,0.925055836566084,-0.003107997111339001,0.004678927200192314,255,-1,-0.5264275709735315,-2.535226647053854,-0.8821542898761194,-1.3050268332110804,1.5671722888946533,-2.8762951532946985
1000,1701121434,281102657,-0.9266998726102387,0.7292117404111556,0.23411765888503872,-0.3795169382508374,0.925181004000402,-0.0004186697600790759,0.0026130696795633505,255,-1,-0.5269063154803675,-2.5285261313067835,-0.8822262922870081,-1.3050387541400355,1.567196249961853,-2.8762951532946985
1100,1701121434,385044813,-0.9260762651905623,0.7288463688987277,0.2415440379625724,-0.37950650715435785,0.9251864562458428,0.0020937105172751376,0.0006697634122010859,255,-1,-0.526954476033346,-2.5220659414874476,-0.8822138945208948,-1.3050511519061487,1.5671722888946533,-2.8763070742236536
1200,1701121434,481032609,-0.9253789972308402,0.728486393337162,0.24914718361340038,0.3794921857956785,-0.9251822512792393,-0.00466340072465214,0.0013173957560109976,255,-1,-0.5269306341754358,-2.515545670186178,-0.8821900526629847,-1.3050511519061487,1.5671722888946533,-2.8763070742236536
1300,1701121434,585194349,-0.9244153715223304,0.7279880729403094,0.25876408311532195,0.37948621273308986,-0.9251556994484954,-0.007908111040434951,0.003822028680338712,255,-1,-0.5269783178912562,-2.5071075598346155,-0.8822382132159632,-1.3050625959979456,1.5672321319580078,-2.876319233571188
1400,1701121434,680991172,-0.9233880400172056,0.7273773868222343,0.2688516996523691,0.37946694938314596,-0.9251133070761619,-0.011346862981647558,0.00643833029065014,255,-1,-0.5270145575152796,-2.4983580748187464,-0.8823459784137171,-1.3050749937640589,1.5672202110290527,-2.876354996358053
1500,1701121434,785117864,-0.9221037462201569,0.7268327518540851,0.27928771367150806,0.37936816304812493,-0.9250809811170899,-0.014861416943657823,0.009171342723957473,255,-1,-0.5271576086627405,-2.4894288221942347,-0.8825247923480433,-1.3050625959979456,1.567256212234497,-2.8763909975634974
1600,1701121434,881047010,-0.9208778279394666,0.7264273466477035,0.2882117123664795,0.3792614951716644,-0.9250445864149819,-0.017917742228888974,0.011497214354258876,255,-1,-0.527445141469137,-2.4817455450641077,-0.882608715687887,-1.3050511519061487,1.5672321319580078,-2.8764029184924524
1700,1701121434,985203504,-0.9193539445664604,0.726115862282778,0.296973092322454,0.37902993812545405,-0.9250484700801341,-0.020813689004028857,0.013726775187977635,255,-1,-0.5278762022601526,-2.473822895680563,-0.8831351439105433,-1.3050749937640589,1.5672441720962524,-2.876462999974386
1800,1701121435,81106185,-0.9174156093226531,0.7263510047649482,0.30551997341945447,0.3785276504928542,-0.9251497655505466,-0.023693872976394515,0.015916328015802728,255,-1,-0.5289533774005335,-2.4663308302508753,-0.8834226767169397,-1.305098835621969,1.567256212234497,-2.876462999974386
1900,1701121435,184965372,-0.9147162118209171,0.726859212895196,0.3139744184278265,0.3779307600751179,-0.9252857965199368,-0.026345444961930628,0.017901197648971832,255,-1,-0.5305097738849085,-2.4580605665790003,-0.8851459662066858,-1.3050749937640589,1.5672321319580078,-2.87694222131838
2000,1701121435,280871152,-0.9119887631283261,0.7276787591824283,0.3206734608715067,0.3772862994909112,-0.9254579776469452,-0.028382808192067982,0.019416385482709034,255,-1,-0.5323775450335901,-2.4512761274920862,-0.8869894186602991,-1.3050625959979456,1.5673041343688965,-2.877338472996847
2100,1701121435,384934425,-0.907262049794854,0.7288913101245176,0.3273060226458146,0.37588779437012615,-0.9259632611403973,-0.029731633246141365,0.02040674021785409,255,-1,-0.5354183355914515,-2.441986862813131,-0.8929618040667933,-1.3050625959979456,1.5672801733016968,-2.8773625532733362
2200,1701121435,480842351,-0.9023902357491316,0.7307226626620178,0.3328617492121432,0.3742372870706973,-0.926579712584428,-0.030815425730876256,0.021139979421659332,255,-1,-0.5389621893512171,-2.4338839689837855,-0.8986471335040491,-1.3051107565509241,1.5672920942306519,-2.8773863951312464
2300,1701121435,585035085,-0.8973463997586274,0.7310901389268241,0.33613051309315306,0.3730871040167477,-0.9270654556487913,-0.030389148941909687,0.02078829924938143,255,-1,-0.5413802305804651,-2.425145928059713,-0.9088919798480433,-1.3050511519061487,1.5673648118972778,-2.8774104754077356
2400,1701121435,681003332,-0.8927548294588599,0.7289187750657,0.337327243932124,0.3729098879105127,-0.927231848819854,-0.028077359467412,0.019773110984924062,255,-1,-0.5418112913714808,-2.414992634450094,-0.9241159597979944,-1.3050387541400355,1.568696141242981,-2.8773985544787806
2500,1701121435,785141706,-0.8867611291333415,0.7251895122205502,0.3403871175594772,0.37289829135216895,-0.927329217224463,-0.024917219776524033,0.019660095297478673,255,-1,-0.541966740285055,-2.3998659292804163,-0.9444149176227015,-1.304967228566305,1.5726794004440308,-2.8774104754077356
2600,1701121435,880944013,-0.8803517368476131,0.7211564714366806,0.3452408620447791,0.37284330501299096,-0.9274037496456584,-0.021687495445498826,0.02097159010337878,255,-1,-0.5423620382892054,-2.3836353460894983,-0.9641874472247522,-1.3048232237445276,1.5787137746810913,-2.8774104754077356
2700,1701121435,985061645,-0.8736094418719548,0.716376985352763,0.351392781245729,0.3728642735625659,-0.9274071724435292,-0.017905606206172698,0.023823502415626235,255,-1,-0.5425775686847132,-2.3655946890460413,-0.9847372213946741,-1.3047755400287073,1.588347315788269,-2.8774223963366907
2800,1701121436,81040620,-0.8684439216681039,0.7121902745531459,0.3575472185931805,0.37277616495615795,-0.9273359871377315,-0.012647767237322551,0.030429127226705103,255,-1,-0.5432007948504847,-2.350910011922018,-0.9999259153949183,-1.3047154585467737,1.6058393716812134,-2.87744647661318
2900,1701121436,185200929,-0.8626977417769957,0.7081774901667428,0.3613535622142714,0.3722981491365904,-0.92730846044445,-0.004697510568815586,0.03835414882471964,255,-1,-0.5447447935687464,-2.3372448126422327,-1.0173404852496546,-1.30463153520693,1.6281427145004272,-2.8774223963366907
3000,1701121436,281056880,-0.8570715600819804,0.7066610770387174,0.36192276472829166,0.37105190671171673,-0.9276138576523291,0.0019200053519407016,0.04300380444114881,255,-1,-0.5476539770709437,-2.3283494154559534,-1.0314276854144495,-1.3046553770648401,1.6427313089370728,-2.877458397542135
3100,1701121436,385198354,-0.8496914915647885,0.7075567822056699,0.3595050223915781,0.3688755724525996,-0.9285168718902426,0.006057699217179716,0.04183939463137647,255,-1,-0.5522149244891565,-2.3208935896502894,-1.04714280763735,-1.3045356909381312,1.6451188325881958,-2.8774223963366907
3200,1701121436,481068611,-0.8438581800864655,0.7093627143983492,0.35790771342560707,0.36683398962980823,-0.9293787148807305,0.008096944826320313,0.04027986920781979,255,-1,-0.5563333670245569,-2.3160861174212855,-1.0568016211139124,-1.3044875303851526,1.6451307535171509,-2.8774104754077356
3300,1701121436,585122108,-0.8381542250951604,0.7120792889960825,0.3613958830111381,0.3645856903311209,-0.9302521609686589,0.007502539922884097,0.040643613442037374,255,-1,-0.5613496939288538,-2.3094337622271937,-1.0619242827044886,-1.3044875303851526,1.6450709104537964,-2.8773863951312464
3400,1701121436,681117296,-0.8323061072364792,0.713889452985183,0.36713365086002775,0.3626174549836081,-0.93099102679472,0.0061426315437302014,0.04155186453869336,255,-1,-0.5654562155352991,-2.300418202077047,-1.0677292982684534,-1.3044994513141077,1.6450709104537964,-2.8773744742022913
3500,1701121436,784780025,-0.8268634760320285,0.7140685827399406,0.37600928038126535,0.3613840731263115,-0.9314007732608978,0.003625127995903361,0.0433706087881166,255,-1,-0.5681627432452601,-2.2885387579547327,-1.0730679670916956,-1.304523770009176,1.6450828313827515,-2.877350393925802
3600,1701121436,881189346,-0.8224725101634963,0.7130867405887157,0.3870999313612795,0.3608001602951274,-0.9315089543070897,3.219152305360302e-05,0.045981641341173406,255,-1,-0.5695627371417444,-2.2758310476886194,-1.0767181555377405,-1.3045952955829065,1.6450588703155518,-2.8773024717914026
