Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,0,0,0,0,0,0,0,0,0,0,0,-0.517568035305935,-2.52399515547437,-0.85827236977378,-1.28136010999932,1.53763740468936,-2.83429731853629
100,0,0,0,0,0,0,0,0,0,0,0,-0.519930728448542,-2.5294409044656,-0.86021832388888,-1.27711857347975,1.53838062241291,-2.8349858050333
200,0,0,0,0,0,0,0,0,0,0,0,-0.522426166063548,-2.53323998564096,-0.862243020096594,-1.27289715313584,1.53904048037803,-2.83563853346619
300,0,0,0,0,0,0,0,0,0,0,0,-0.525308228305675,-2.53224306801653,-0.864497056416518,-1.26873432211606,1.53945754905831,-2.83618711482644
400,0,0,0,0,0,0,0,0,0,0,0,-0.527849024111979,-2.52840075117768,-0.865311562389067,-1.26451678502727,1.54021275587192,-2.83627717103777
500,0,0,0,0,0,0,0,0,0,0,0,-0.53037063543186,-2.52439847860668,-0.866045144345932,-1.26029617260576,1.54098697131266,-2.83634145099754
600,0,0,0,0,0,0,0,0,0,0,0,-0.532156201212122,-2.52116471493078,-0.866504382464946,-1.25741251345311,1.54234332437584,-2.83722727183608
700,0,0,0,0,0,0,0,0,0,0,0,-0.533722318441988,-2.51816007860354,-0.866881826246131,-1.25492746069235,1.54387323906055,-2.8383580312623
800,0,0,0,0,0,0,0,0,0,0,0,-0.535288435671855,-2.51515544227631,-0.867259270027315,-1.25244240793158,1.54540315374526,-2.83948879068852
900,0,0,0,0,0,0,0,0,0,0,0,-0.536854552901721,-2.51215080594907,-0.867636713808498,-1.24995735517081,1.54693306842997,-2.84061955011473
1000,0,0,0,0,0,0,0,0,0,0,0,-0.538300698979481,-2.50811644794521,-0.868013184383961,-1.24848342689977,1.54810608622752,-2.84170414689479
1100,0,0,0,0,0,0,0,0,0,0,0,-0.539512946645289,-2.50207452178276,-0.868387757576021,-1.24898080930034,1.54858328995919,-2.84269874395875
1200,0,0,0,0,0,0,0,0,0,0,0,-0.540725194311098,-2.49603259562031,-0.868762330768081,-1.24947819170091,1.54906049369087,-2.84369334102272
1300,0,0,0,0,0,0,0,0,0,0,0,-0.541937441976906,-2.48999066945786,-0.869136903960142,-1.24997557410148,1.54953769742254,-2.84468793808668
1400,0,0,0,0,0,0,0,0,0,0,0,-0.543149689642715,-2.48394874329541,-0.869511477152202,-1.25047295650205,1.55001490115421,-2.84568253515065
1500,0,0,0,0,0,0,0,0,0,0,0,-0.544361937308524,-2.47790681713296,-0.869886050344262,-1.25097033890262,1.55049210488588,-2.84667713221461
1600,0,0,0,0,0,0,0,0,0,0,0,-0.545574184974332,-2.47186489097052,-0.870260623536323,-1.25146772130319,1.55096930861755,-2.84767172927857
1700,0,0,0,0,0,0,0,0,0,0,0,-0.546786432640141,-2.46582296480807,-0.870635196728383,-1.25196510370376,1.55144651234922,-2.84866632634254
1800,0,0,0,0,0,0,0,0,0,0,0,-0.546619718138408,-2.45590963483,-0.877245232072629,-1.25219967237005,1.55283660394286,-2.84970676473028
1900,0,0,0,0,0,0,0,0,0,0,0,-0.545977180975521,-2.4450290542022,-0.882746803727879,-1.25269744235635,1.55414198997495,-2.85075403368585
2000,0,0,0,0,0,0,0,0,0,0,0,-0.544668368399659,-2.43316436600154,-0.883421276914198,-1.25391926726878,1.55492723429431,-2.8518018387688
2100,0,0,0,0,0,0,0,0,0,0,0,-0.543290527248875,-2.42082854783261,-0.884060680243264,-1.25554083647717,1.55586577462227,-2.85301023089764
2200,0,0,0,0,0,0,0,0,0,0,0,-0.541908984671542,-2.40846746689425,-0.884698203068483,-1.25718384063697,1.55681253493618,-2.85422723396994
2300,0,0,0,0,0,0,0,0,0,0,0,-0.54052744209421,-2.3961063859559,-0.885335725893702,-1.25882684479677,1.55775929525008,-2.85544423704223
2400,0,0,0,0,0,0,0,0,0,0,0,-0.539059192017341,-2.38384738028642,-0.886091602142582,-1.26058676530971,1.55872223610732,-2.85659189281977
2500,0,0,0,0,0,0,0,0,0,0,0,-0.536721033468846,-2.37262398011761,-0.888093593949816,-1.26418734201263,1.55985517526275,-2.85701529909826
2600,0,0,0,0,0,0,0,0,0,0,0,-0.534415467017733,-2.36137347925663,-0.890108541652286,-1.26839719627222,1.56098953065543,-2.85743687855765
2700,0,0,0,0,0,0,0,0,0,0,0,-0.532109900566619,-2.35012297839565,-0.892123489354757,-1.27260705053181,1.56212388604812,-2.85785845801705
2800,0,0,0,0,0,0,0,0,0,0,0,-0.529804334115506,-2.33887247753467,-0.894138437057228,-1.27681690479139,1.5632582414408,-2.85828003747644
2900,0,0,0,0,0,0,0,0,0,0,0,-0.527498767664393,-2.3276219766737,-0.896153384759698,-1.28102675905098,1.56439259683349,-2.85870161693583
3000,0,0,0,0,0,0,0,0,0,0,0,-0.525193201213279,-2.31637147581272,-0.898168332462169,-1.28523661331057,1.56552695222617,-2.85912319639523
3100,0,0,0,0,0,0,0,0,0,0,0,-0.522887634762166,-2.30512097495174,-0.90018328016464,-1.28944646757016,1.56666130761886,-2.85954477585462
3200,0,0,0,0,0,0,0,0,0,0,0,-0.519775060245514,-2.29390120817731,-0.902114342390627,-1.29474095841223,1.56805746156836,-2.86015871986649
3300,0,0,0,0,0,0,0,0,0,0,0,-0.516432178350984,-2.2826902124266,-0.904021465024242,-1.30034498743358,1.56952832869822,-2.86082756168864
3400,0,0,0,0,0,0,0,0,0,0,0,-0.512646599939229,-2.27478328361929,-0.905780331527935,-1.30359618701514,1.57414611076686,-2.86153715273564
3500,0,0,0,0,0,0,0,0,0,0,0,-0.507884798557978,-2.26929001596466,-0.907656342288939,-1.30480859380014,1.58131946758591,-2.86225331232678
3600,0,0,0,0,0,0,0,0,0,0,0,-0.503237747812477,-2.26141713301558,-0.908010161926696,-1.30708804970937,1.58732590632798,-2.86257607311925
3700,0,0,0,0,0,0,0,0,0,0,0,-0.498590697066975,-2.2535442500665,-0.908363981564453,-1.30936750561859,1.59333234507004,-2.86289883391172
3800,0,0,0,0,0,0,0,0,0,0,0,-0.49381750060245,-2.24843146048437,-0.911142689012062,-1.30898430368575,1.60107546488404,-2.86245104657132
3900,0,0,0,0,0,0,0,0,0,0,0,-0.489816743544404,-2.24474458427571,-0.91630843069505,-1.30845744809943,1.60920734142169,-2.86228275386302
4000,0,0,0,0,0,0,0,0,0,0,0,-0.485581612523563,-2.24157410276592,-0.921745825015313,-1.30791941602497,1.61731987436405,-2.86207506357747
4100,0,0,0,0,0,0,0,0,0,0,0,-0.480905008765859,-2.23917552503931,-0.927570089400525,-1.30736752846504,1.6254006644043,-2.86179531866855
4200,0,0,0,0,0,0,0,0,0,0,0,-0.476409157913773,-2.23673625452943,-0.93445198524095,-1.30662826383569,1.63351124856073,-2.86174083744596
4300,0,0,0,0,0,0,0,0,0,0,0,-0.471913307061686,-2.23429698401956,-0.941333881081375,-1.30588899920634,1.64162183271716,-2.86168635622337
4400,0,0,0,0,0,0,0,0,0,0,0,-0.468978039240425,-2.2330759548825,-0.94516411565988,-1.30787354344365,1.64313134374592,-2.86221085347593
4500,0,0,0,0,0,0,0,0,0,0,0,-0.466906465232475,-2.23130365921473,-0.955904592663873,-1.30150736975674,1.64332395058929,-2.86321796973687
4600,0,0,0,0,0,0,0,0,0,0,0,-0.464834891224524,-2.22953136354697,-0.966645069667868,-1.29514119606984,1.64351655743266,-2.8642250859978
4700,0,0,0,0,0,0,0,0,0,0,0,-0.462763317216574,-2.22775906787921,-0.977385546671862,-1.28877502238293,1.64370916427603,-2.86523220225873
4800,0,0,0,0,0,0,0,0,0,0,0,-0.458530140476744,-2.22569283394364,-0.988736637621902,-1.28401733684497,1.64348708761852,-2.86661130626098
4900,0,0,0,0,0,0,0,0,0,0,0,-0.452343017066555,-2.22336089915046,-1.00063968341043,-1.28071361878059,1.64289016435582,-2.86832666271047
