Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,0,0,0,0,0,0,0,0,0,0,0,-0.525663951306618,-2.53712205155864,-0.871831840773907,-1.30614848122663,1.563555987766,-2.86918134676939
100,0,0,0,0,0,0,0,0,0,0,0,-0.5257909017482,-2.5374250109045,-0.871004528596486,-1.30643667998735,1.56348613325645,-2.86963738072722
200,0,0,0,0,0,0,0,0,0,0,0,-0.525917852189782,-2.53772797025036,-0.870177216419064,-1.30672487874806,1.5634162787469,-2.87009341468505
300,0,0,0,0,0,0,0,0,0,0,0,-0.526044802631364,-2.53803092959622,-0.869349904241643,-1.30701307750878,1.56334642423735,-2.87054944864288
400,0,0,0,0,0,0,0,0,0,0,0,-0.526181115215449,-2.53821830523597,-0.868476039014244,-1.30725489218803,1.56329436717804,-2.87097526228817
500,0,0,0,0,0,0,0,0,0,0,0,-0.526350525632773,-2.5358334639317,-0.866552170653825,-1.30681176147451,1.56367959330756,-2.87091368216501
600,0,0,0,0,0,0,0,0,0,0,0,-0.526519936050097,-2.53344862262743,-0.864628302293405,-1.30636863076098,1.56406481943708,-2.87085210204184
700,0,0,0,0,0,0,0,0,0,0,0,-0.526689346467421,-2.53106378132315,-0.862704433932985,-1.30592550004746,1.5644500455666,-2.87079052191868
800,0,0,0,0,0,0,0,0,0,0,0,-0.5267320928202,-2.52749008787271,-0.858168652736678,-1.30583956271666,1.56455158756183,-2.87090142876897
900,0,0,0,0,0,0,0,0,0,0,0,-0.526629230376723,-2.52254972953154,-0.850630303406138,-1.30616424301978,1.5643270157105,-2.8712106209077
1000,0,0,0,0,0,0,0,0,0,0,0,-0.526526367933246,-2.51760937119038,-0.843091954075597,-1.30648892332291,1.56410244385916,-2.87151981304644
1100,0,0,0,0,0,0,0,0,0,0,0,-0.526776889863641,-2.51358095837988,-0.834909455432197,-1.30645915219797,1.5638610372662,-2.87176030220416
1200,0,0,0,0,0,0,0,0,0,0,0,-0.527422853644039,-2.510573024839,-0.826006145075579,-1.30603274517507,1.56360079237177,-2.87192391180544
1300,0,0,0,0,0,0,0,0,0,0,0,-0.52783618841204,-2.50696608842231,-0.817842938158645,-1.30574419603059,1.56339589615944,-2.87206649507467
1400,0,0,0,0,0,0,0,0,0,0,0,-0.52642126547748,-2.49865152069913,-0.815496287828315,-1.30653908753463,1.56362599149587,-2.87204383002363
1500,0,0,0,0,0,0,0,0,0,0,0,-0.525008904707296,-2.49033836028458,-0.813155938552211,-1.30733690108392,1.56385896470724,-2.87202234781884
1600,0,0,0,0,0,0,0,0,0,0,0,-0.523646252215873,-2.48205250291525,-0.810937835359467,-1.30819140492243,1.56414777126424,-2.87202381388844
1700,0,0,0,0,0,0,0,0,0,0,0,-0.522283599724449,-2.47376664554591,-0.808719732166722,-1.30904590876095,1.56443657782125,-2.87202527995803
1800,0,0,0,0,0,0,0,0,0,0,0,-0.520767681431348,-2.46566121833546,-0.806710832704397,-1.31010707613709,1.56475398540998,-2.87190416644938
1900,0,0,0,0,0,0,0,0,0,0,0,-0.51663761146261,-2.45669812599784,-0.806079807198416,-1.31487611328194,1.56500546788001,-2.87148112777466
2000,0,0,0,0,0,0,0,0,0,0,0,-0.509960622554012,-2.44583768851223,-0.806003083743967,-1.3233499410053,1.56491805972474,-2.87148059904684
2100,0,0,0,0,0,0,0,0,0,0,0,-0.503236410442747,-2.43445446335364,-0.805899474439061,-1.33273835614024,1.56499480944284,-2.87164937629343
2200,0,0,0,0,0,0,0,0,0,0,0,-0.496496713231223,-2.42296555015496,-0.805787997953698,-1.34221644545008,1.56510594787698,-2.87185417784604
2300,0,0,0,0,0,0,0,0,0,0,0,-0.4897570160197,-2.41147663695629,-0.805676521468335,-1.35169453475993,1.56521708631113,-2.87205897939864
2400,0,0,0,0,0,0,0,0,0,0,0,-0.483017318808176,-2.39998772375761,-0.805565044982972,-1.36117262406977,1.56532822474527,-2.87226378095124
2500,0,0,0,0,0,0,0,0,0,0,0,-0.476277621596652,-2.38849881055894,-0.805453568497609,-1.37065071337961,1.56543936317941,-2.87246858250384
2600,0,0,0,0,0,0,0,0,0,0,0,-0.469100143407182,-2.38259997059155,-0.805816541118021,-1.37544011186517,1.56537091700073,-2.87276495732587
2700,0,0,0,0,0,0,0,0,0,0,0,-0.461887221673913,-2.37715371311494,-0.806217926000518,-1.37984990541821,1.56528793132532,-2.87306874608625
2800,0,0,0,0,0,0,0,0,0,0,0,-0.454674299940643,-2.37170745563833,-0.806619310883016,-1.38425969897125,1.56520494564992,-2.87337253484663
2900,0,0,0,0,0,0,0,0,0,0,0,-0.447461378207374,-2.36626119816172,-0.807020695765513,-1.3886694925243,1.56512195997452,-2.87367632360702
3000,0,0,0,0,0,0,0,0,0,0,0,-0.442064693209634,-2.36117558336008,-0.807422513623733,-1.39067135697415,1.56511602796018,-2.87345395730686
3100,0,0,0,0,0,0,0,0,0,0,0,-0.436824518322604,-2.35612104612883,-0.807824368792661,-1.39246572355594,1.56511673587156,-2.8731862507792
3200,0,0,0,0,0,0,0,0,0,0,0,-0.431224105471585,-2.3509777506555,-0.808138743179623,-1.39416156872485,1.56512120086713,-2.87294696015173
3300,0,0,0,0,0,0,0,0,0,0,0,-0.422627589898166,-2.3450962520018,-0.807725539034604,-1.39503801032484,1.56515691356914,-2.87294400484814
3400,0,0,0,0,0,0,0,0,0,0,0,-0.414031074324746,-2.3392147533481,-0.807312334889585,-1.39591445192482,1.56519262627115,-2.87294104954455
3500,0,0,0,0,0,0,0,0,0,0,0,-0.405424848807967,-2.33332743762595,-0.80689721598197,-1.39679411340583,1.5652248570573,-2.87294957435536
3600,0,0,0,0,0,0,0,0,0,0,0,-0.396818020875847,-2.32743976100661,-0.806481978280423,-1.39767397465172,1.56525687182164,-2.87295881140482
3700,0,0,0,0,0,0,0,0,0,0,0,-0.388211192943728,-2.32155208438727,-0.806066740578875,-1.39855383589761,1.56528888658599,-2.87296804845429
3800,0,0,0,0,0,0,0,0,0,0,0,-0.378122448616603,-2.31474711407066,-0.805759066786201,-1.39977709652737,1.56568469215336,-2.87318117364705
3900,0,0,0,0,0,0,0,0,0,0,0,-0.363138193589601,-2.31037984370256,-0.806342265978721,-1.40038937928751,1.56613888229963,-2.87351405887388
4000,0,0,0,0,0,0,0,0,0,0,0,-0.347686777408893,-2.30620276015927,-0.806887706283581,-1.40160296579887,1.56664996626353,-2.87388816865346
4100,0,0,0,0,0,0,0,0,0,0,0,-0.331772124165343,-2.3022970363423,-0.8073338944863,-1.40379162681527,1.56728735139931,-2.87433745175232
4200,0,0,0,0,0,0,0,0,0,0,0,-0.315857470921792,-2.29839131252534,-0.80778008268902,-1.40598028783167,1.56792473653508,-2.87478673485118
4300,0,0,0,0,0,0,0,0,0,0,0,-0.300451533032341,-2.29758210176263,-0.807905373097383,-1.40948435487881,1.56787491857389,-2.87483883116537
4400,0,0,0,0,0,0,0,0,0,0,0,-0.285133278855959,-2.29730661533118,-0.807975352593862,-1.41321514927759,1.56770665221383,-2.87482246716717
4500,0,0,0,0,0,0,0,0,0,0,0,-0.269815024679577,-2.29703112889973,-0.808045332090342,-1.41694594367637,1.56753838585377,-2.87480610316898
4600,0,0,0,0,0,0,0,0,0,0,0,-0.254496770503195,-2.29675564246828,-0.808115311586821,-1.42067673807515,1.56737011949371,-2.87478973917078
4700,0,0,0,0,0,0,0,0,0,0,0,-0.239178516326813,-2.29648015603682,-0.8081852910833,-1.42440753247393,1.56720185313365,-2.87477337517258
4800,0,0,0,0,0,0,0,0,0,0,0,-0.223860262150431,-2.29620466960537,-0.808255270579779,-1.42813832687271,1.56703358677359,-2.87475701117439
4900,0,0,0,0,0,0,0,0,0,0,0,-0.208542007974049,-2.29592918317392,-0.808325250076258,-1.43186912127149,1.56686532041353,-2.87474064717619
5000,0,0,0,0,0,0,0,0,0,0,0,-0.193223753797666,-2.29565369674247,-0.808395229572738,-1.43559991567027,1.56669705405347,-2.87472428317799
5100,0,0,0,0,0,0,0,0,0,0,0,-0.177865281960285,-2.29535173373575,-0.80844440375793,-1.4393873213501,1.56654064258026,-2.87473066094573
